MBS,Ime,OIB,DJELATNOST_SIFRA,DJELATNOST_NAZIV,ZUPANIJA,ADRESA,NASELJE,EMAIL_ADRESE,TELEFONSKI_BROJEVI,GFI_COUNT,STATUS,NAZNAKA_IMENA,PRAVNI_OBLIK,OSTALO
40466761,ISKOPI KLARIĆ društvo s ograničenom odgovornošću za graditeljstvo i usluge,47996440164,,,Primorsko-goranska županija,Furićevo 57,Viškovo,klaric.1marko@gmail.com,,,1,1,ISKOPI KLARIĆ,d.o.o.
40467027,Dragić DDA društvo s ograničenom odgovornošću za graditeljstvo i usluge,57972995208,,,Primorsko-goranska županija,Glavani 68,Kostrena,dalibordragic76@gmail.com,,,1,1,Dragić DDA,d.o.o.
40467297,GORANI BAU društvo s ograničenom odgovornošću za graditeljstvo i usluge,33144773915,,,Primorsko-goranska županija,Tončićevo 26,Crikvenica,goranibaudoo@gmail.com,,,1,1,GORANI BAU,d.o.o.
40467369,M.S.A. gradnja društvo s ograničenom odgovornošću za graditeljstvo i pružanje usluga,94839134004,,,Primorsko-goranska županija,Ciottina 22,Rijeka,ampejic@gmail.com,,,1,1,M.S.A. gradnja,d.o.o.
40467504,GOJANI NEKRETNINE društvo s ograničenom odgovornošću za graditeljstvo i usluge,53857299243,,,Primorsko-goranska županija,Vrutki 30,Opatija,tom.gojani@gmail.com,,,1,1,GOJANI NEKRETNINE,d.o.o.
40469311,NEGLECTUM  jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,59881653465,,,Primorsko-goranska županija,Vozišće 53,Viškovo,neglectum.hr@gmail.com,,,1,1,NEGLECTUM,j.d.o.o.
40470791,TONKOVIĆ GRADNJA jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,77186741810,,,Ličko-senjska županija,Sinac 76,Sinac,jurapuska@gmail.com,,,1,1,TONKOVIĆ GRADNJA,j.d.o.o.
40471751,BLUE društvo  s ograničenom odgovornošću za graditeljstvo i usluge,50464231410,,,Primorsko-goranska županija,Velog Jože 7,Opatija,lekgojani67@gmail.com,,,1,1,BLUE,d.o.o.
40475264,Bodnar društvo s ograničenom odgovornošću za graditeljstvo i usluge,58406826442,,,Primorsko-goranska županija,Krčevina 21,Smokvica Krmpotska,bodnarnorbert83@gmail.com,,,0,1,Bodnar,d.o.o.
40475711,MALNAR-DOM jednostavno društvo s ograničenom odgovornošću za graditeljstvo,33600221901,,,Primorsko-goranska županija,Skednari 17,Hrib,martinamalnar02@gmail.com,,,1,1,MALNAR-DOM,j.d.o.o.
40476144,"M Art Project društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",55447182635,,,Ličko-senjska županija,Ulica Petra Kružića 10,Senj,loncaric.mirano@gmail.com,,,1,1,"M Art Project društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",d.o.o.
40477024,Graditeljstvo Miskic jednostavno društvo s ograničenom odgovornošću za Graditeljstvo,58017215776,,,Primorsko-goranska županija,Ferenci 46,Kosi,danijelmiskic3@gmail.com,,,1,1,Graditeljstvo Miskic,j.d.o.o.
40477153,QUATTRO FIUMI jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,87537651865,,,Primorsko-goranska županija,Milutina Barača 1,Rijeka,officeinfo051@gmail.com,,,1,1,QUATTRO FIUMI,j.d.o.o.
40477539,SWEET SOLUTIONS jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,63371616918,,,Primorsko-goranska županija,Manestri 62,Dramalj,hd26071969@gmail.com,,,1,1,SWEET SOLUTIONS,j.d.o.o.
40477643,IV BAU d.o.o. za graditeljstvo i usluge,24020142093,,,Ličko-senjska županija,Ulica Petra Kružića 48,Senj,ivanavilusic0102@gmail.com,,,1,1,IV BAU,d.o.o.
40478781,HG-GRADNJA RESIDENT društvo s ograničenom odgovornošću za graditeljstvo,29033381380,,,Primorsko-goranska županija,Sveti križ 2,Rijeka,hadi.gashi@gmail.com,,,1,1,HG-GRADNJA RESIDENT,d.o.o.
40480158,Castua development društvo s ograničenom odgovornošću za graditeljstvo i poslovanje nekretninama,52695178819,,,Primorsko-goranska županija,Spinčići 159,Kastav,castuadevelopment@gmail.com,,,0,1,Castua development,d.o.o.
40480246,MATRIX AM-BAU jednostavno društvo s ograničenom odgovornošću za graditeljstvo,15213963216,,,Primorsko-goranska županija,Tvornička ulica 12,Vrbovsko,mirjanantonio@gmail.com,,,0,1,jednostavno društvo s ograničenom odgovornošću,j.d.o.o.
40480439,KAMENJAR-GRADNJA jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,18413359211,,,Ličko-senjska županija,Miroslava Krleže 24,Otočac,slavkorogic10@gmail.com,,,0,1,KAMENJAR-GRADNJA,j.d.o.o.
40481988,PAKI-ISKOPI jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,85929547030,,,Ličko-senjska županija,Sinac 358,Sinac,patrikilic17@gmail.com,,,0,1,PAKI-ISKOPI,j.d.o.o.
40482665,PELIKAN BAU d.o.o. za graditeljstvo i poslovne usluge,17070868193,,,Ličko-senjska županija,Lukovo Šugarje 142,Lukovo Šugarje,zolipa2020@gmail.com,,,0,1,PELIKAN BAU,d.o.o.
40482882,COREVIA GROUP jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,68751159668,,,Primorsko-goranska županija,Brdina 13,Mavrinci,korinabijelonjic1@gmail.com,,,0,1,COREVIA GROUP,j.d.o.o.
40483002,ŠPRAJCAR GRADNJA jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,85183529199,,,Primorsko-goranska županija,Gustava Krkleca 17,Rijeka,daliborsprajcar@gmail.com,,,0,1,ŠPRAJCAR GRADNJA,j.d.o.o.
40483336,"PLASTIKA-COM društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",42413573545,,,Primorsko-goranska županija,Put Luskino 18,Kućeli,plastikacom1@gmail.com,,,0,1,PLASTIKA-COM,d.o.o.
40484878,GRADNJA AJAS društvo s ograničenom odgovornošću za graditeljstvo,20719436028,,,Primorsko-goranska županija,Škrljevo 45,Škrljevo,ajas.radovi1@gmail.com,,,0,1,GRADNJA AJAS,d.o.o.
40485627,RECRO GRAD društvo s ograničenom odgovornošću za graditeljstvo i usluge,42918636308,,,Primorsko-goranska županija,Kožuli 72,Dobreć,info@recrograd.hr,,,0,1,RECRO GRAD,d.o.o.
40485792,H.R. GRADNJA jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,63765040732,,,Ličko-senjska županija,Lovinačka ulica 15,Gospić,resadhusic2@gmail.com,,,0,1,H.R. GRADNJA,j.d.o.o.
40486247,SOS WOLFY jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,58755220752,,,Primorsko-goranska županija,Smoljanovićeva 43,Bakar,wolf.elis.lukic@gmail.com,,,0,1,SOS WOLFY,j.d.o.o.
40486861,"CON IVA društvo s ograničenom odgovornošću za graditeljstvo, poslovanje nekretninama i usluge",25102971673,,,Primorsko-goranska županija,Maršala Tita 26,Opatija,vlasta57@gmail.com,,,0,1,CON IVA,d.o.o.
40487127,PRPA KOP jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,44086080168,,,Ličko-senjska županija,Čatare 12,Stara Novalja,prpakop.25@gmail.com,,,0,1,PRPA KOP,j.d.o.o.
40487364,Dynamic Structures društvo s ograničenom odgovornošću za graditeljstvo i usluge,67648311049,,,Primorsko-goranska županija,Japlenički put 25,Njivice,ifalibasic@gmail.com,,,0,1,Dynamic Structures,d.o.o.
40487645,RIVA COLOR jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,54709939214,,,Primorsko-goranska županija,Osojnaki 7,Matulji,tooobafti@icloud.com,,,0,1,RIVA COLOR,j.d.o.o.
40488033,LA KRK jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,25094981477,,,Primorsko-goranska županija,Ulica Kolušin 16,Punat,"luzimeamir@gmail.com, sinisazupanec@gmail.com",,,0,1,LA KRK,j.d.o.o.
40488105,MikeDeKing društvo s ograničenom odgovornošću za graditeljstvo i usluge,44470703186,,,Ličko-senjska županija,Slatinska ulica 61,Novalja,elromanie@icloud.com,,,1,1,MikeDeKing,d.o.o.
40488902,SOTIS HILLS društvo s ograničenom odgovornošću za graditeljstvo i usluge,9960168644,,,Primorsko-goranska županija,Maršala Tita 77,Selce,biljansasa@gmail.com,,,0,1,SOTIS HILLS,d.o.o.
40490376,OK GRADNJA jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,7166513383,,,Ličko-senjska županija,Prozor 221,Prozor,gradnjaok@gmail.com,,,0,1,OK GRADNJA,j.d.o.o.
40491720,KERI MONT jednostavno društvo s ograničenom odgovornošću za graditeljstvo i usluge,57133740582,,,Primorsko-goranska županija,Braće Monjac 22,Rijeka,vanco.milcov@hotmail.com,,,0,1,KERI MONT,j.d.o.o.
40492030,PREKAKOP društvo s ograničenom odgovornošću za graditeljstvo,82216610339,,,Primorsko-goranska županija,Supetarska Draga 425,Supetarska Draga,info@prekakop.hr,,,0,1,PREKAKOP,d.o.o.
50003071,"SOLING d. o. o. za graditeljstvo, trgovinu, promet i usluge",22826765110,,,Brodsko-posavska županija,Sjeverna ulica 15,Gornja Vrba,soling@soling.hr,,,17,1,SOLING,d.o.o.
50004523,"GTU FESTINA, d. o. o. za graditeljstvo, trgovinu i usluge",15778399036,,,Brodsko-posavska županija,Imotska ulica 27,Slavonski Brod,gtufestina@gmail.com,,,17,1,GTU FESTINA,d.o.o.
50004531,SASSI d.o.o. za graditeljstvo i usluge,39086465426,,,Požeško-slavonska županija,Antuna Kanižlića 10,Požega,wolf@po.t-com.hr,,,14,1,SASSI,d.o.o.
50005323,"SITOLOR d. o. o. za graditeljstvo, proizvodnju i trgovinu",21520217808,,,Brodsko-posavska županija,Ulica Pavla Radića 12,Slavonski Brod,sitolor@sitolor.hr,,,17,1,SITOLOR,d.o.o.
50024078,"HITER, d. o. o. za graditeljstvo i usluge",2304761852,,,Brodsko-posavska županija,I. Ribara Lole 86,Staro Topolje,vladohiter@gmail.com,,,17,1,HITER,d.o.o.
50027781,VUKOJEVIĆ-GRADNJA d. o. o. za graditeljstvo,15737775574,,,Brodsko-posavska županija,Ulica Ivana Filipovića 1,Slavonski Brod,vukojevic.gradnja@gmail.com,,,19,1,VUKOJEVIĆ-GRADNJA,d.o.o.
50032800,KRUŠEVICA GRADNJA društvo s ograničenom odgovornošću za graditeljstvo i usluge,70324458925,,,Brodsko-posavska županija,Ljudevita Gaja 138,Kruševica,irena.slat@sb.t-com.hr,,,15,1,KRUŠEVICA GRADNJA,d.o.o.
50033396,ALFA-INŽENJERING d. o. o. za graditeljstvo i usluge,20293328923,,,Brodsko-posavska županija,Osječka ulica 125,Slavonski Brod,drazen.leko@alfa-inzenjering.hr,,,18,1,ALFA-INŽENJERING,d.o.o.
50036080,"MARKO MIJIĆ društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",98475849550,,,Brodsko-posavska županija,Osječka ulica 66,Slavonski Brod,mijicdooo@gmail.com,,,17,1,MARKO MIJIĆ,d.o.o.
50036983,"PIRAMIDA BROD d.o.o. za graditeljstvo, turizam i usluge",43381384140,,,Brodsko-posavska županija,Ulica Tome Bakača 23,Slavonski Brod,sb.piramidabrod@gmail.com,,,15,1,PIRAMIDA BROD,d.o.o.
50037252,Inter Euro društvo s ograničenom odgovornošću za graditeljstvo i trgovinu,60041858127,,,Brodsko-posavska županija,Ulica Eugena Kumičića 155,Slavonski Brod,inter.euro@net.hr  inter.euro@sb.t-com.hr,,,17,1,INTER EURO,d.o.o.
50038315,EURO-STAN d.o.o. za graditeljstvo i usluge,63260167122,,,Brodsko-posavska županija,Ulica Petra Svačića 1,Slavonski Brod,ured@euro-stan.hr,,,24,1,EURO-STAN,d.o.o.
50038331,"LOCO d.o.o. za graditeljstvo, trgovinu i usluge",78998776513,,,Brodsko-posavska županija,Ulica Augusta Šenoe 1,Slavonski Brod,loco.razminiranje@gmail.com,,,18,1,LOCO,d.o.o.
50040674,"MOSTARKIĆ d.o.o. za graditeljstvo, projektiranje i nadzor",14674129370,,,Brodsko-posavska županija,Ulica Petra Svačića 1,Slavonski Brod,mostarkicured@gmail.com,,,16,1,MOSTARKIĆ,d.o.o.
50041474,"DANIJEL d.o.o. za graditeljstvo, proizvodnju, trgovinu i usluge",64757516280,,,Požeško-slavonska županija,Eugena Podubskog 59,Pleternica,danijel@danijel.hr,,,17,1,DANIJEL,d.o.o.
50042522,"DESPINA d.o.o. za graditeljstvo, trgovinu i usluge",3072281192,,,Brodsko-posavska županija,Reljkovićeva 26,Nova Gradiška,despinang@gmail.com,,,18,1,DESPINA,d.o.o.
50044782,"K.S.-Gradnja društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",8525444865,,,Brodsko-posavska županija,Ulica Poljanci 69,Poljanci,ksgradnja@gmail.com,,,20,1,K.S.-Gradnja,d.o.o.
60000068,ASFALT AB društvo s ograničenom odgovornošću za graditeljstvo,80601028296,,,Splitsko-dalmatinska županija,Ispod Osoja 31,Blaca,info@asfalt-ab.hr,,,17,1,ASFALT AB,d.o.o.
60000783,"LAVČEVIĆ - MEHANIZACIJA društvo s ograničenom odgovornošću za graditeljstvo, cestovni prijevoz i trgovinu",62641419845,,,Splitsko-dalmatinska županija,Stinice 16,Split,info@lavcevic.hr,,,17,1,LAVČEVIĆ MEHANIZACIJA,d.o.o.
60001534,LAVČEVIĆ ŠIBENIK društvo s ograničenom odgovornošću za graditeljstvo i trgovinu,65007307613,,,Šibensko-kninska županija,Bana Josipa Jelačića 17,Šibenik,info@lavcevic-sibenik.hr,,,17,1,LAVČEVIĆ ŠIBENIK,d.o.o.
60007081,"MA-TO društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",61429965388,,,Zadarska županija,Ulica Julija Klovića 46,Zadar,ma-to@email.t-com.hr,,,17,1,MA-TO,d.o.o.
60008685,SANIT - GRADNJA d.o.o. za graditeljstvo,84791147642,,,Splitsko-dalmatinska županija,Dubrovačka 61,Split,sanit.gradnja@st.t-com.hr,,,17,1,SANIT GRADNJA,d.o.o.
60009401,"MATE PITUR društvo s ograničenom odgovornošću za graditeljstvo, trgovinu, ugostiteljstvo, prijevoz i turizam",50821262016,,,Splitsko-dalmatinska županija,Duće-Vavlje ,Omiš,ivancevic.zeljko.duce@gmail.com,,,17,1,MATE PITUR,d.o.o.
60010990,BISMARK društvo s ograničenom odgovornošću za graditeljstvo i trgovinu,11795573656,,,Splitsko-dalmatinska županija,Poljaci 36,Solin,bismark.solin@gmail.com,,,18,1,BISMARK,d.o.o.
60013834,M-P-BETON d.o.o. za graditeljstvo,59003338799,,,Splitsko-dalmatinska županija,Ulica don Frane Bulića 209,Solin,mp-beton@mpbeton.tcloud.hr,,,17,1,MP BETON,d.o.o.
60015635,"ALFA SOLIN d.o.o. za graditeljstvo, trgovinu i promet",77303495173,,,Splitsko-dalmatinska županija,Braće Radića 12,Mravince,antemal@net.hr,,,16,1,ALFA SOLIN,d.o.o.
60025820,KONT d.o.o. za graditeljstvo i usluge,78248864531,,,Dubrovačko-neretvanska županija,Čibača 14,Mlini,info@kont.hr,,,18,1,KONT,d.o.o.
60028045,"DRUST d.o.o. za graditeljstvo, unutrašnju i vanjsku trgovinu, turizam, usluge, ugostiteljstvo i cestovni promet",78171029727,,,Splitsko-dalmatinska županija,Put Plokita 17,Split,drust.doo@gmail.com,,,15,1,DRUST,d.o.o.
60032812,"OLIMP IZGRADNJA d.o.o. za graditeljstvo, projektiranje i trgovinu",99748886135,,,Splitsko-dalmatinska županija,Ulica Grančuša 2,Košute,olimp.izgradnja.doo@gmail.com,,,17,1,OLIMP IZGRADNJA,d.o.o.
60038737,GRAĐEVNO KORČULA društvo s ograničenom odgovornošću za graditeljstvo,6539830893,,,Grad Zagreb,Boškovićeva ulica 7,Zagreb,srdjan.barovic@odbgb.hr,,,17,1,GRAĐEVNO KORČULA,d.o.o.
60040508,"HK-INSTEL, društvo s ograničenom odgovornošću za graditeljstvo, uslužne djelatnosti, trgovinu, export-import, ugostiteljstvo i turizam",48202992595,,,Zadarska županija,Ulica Andrije Hebranga 3,Zadar,hrvojeklaric@hotmail.com,,,16,1,HK INSTEL,d.o.o.
60043238,SIGMA-PROJEKT d.o.o. za graditeljstvo i trgovinu,47134780158,,,Splitsko-dalmatinska županija,Put Plokita 51,Split,info@sigma-projekt.hr,,,17,1,SIGMA-PROJEKT,d.o.o.
60044082,"INGENIUM d.o.o. za graditeljstvo, trgovinu i usluge",56045474235,,,Splitsko-dalmatinska županija,Markov put 65,Split,josip.krizanac.007@gmail.com,,,17,1,GESTA,d.o.o.
60044355,CRO-ING d.o.o. za graditeljstvo,84065882605,,,Splitsko-dalmatinska županija,Kranjčevićeva 15,Split,croing1@gmail.com,,,,0,CRO-ING,
60044793,"ŽAZ-INVEST društvo s ograničenom odgovornošću za graditeljstvo, projektiranje, inžinjering i trgovinu",44750641621,,,Zadarska županija,Ulica Ive Senjanina 12,Zadar,zazinvest@gmail.com,,,,0,ŽAZ-INVEST,
60045569,STRUKTOR d.o.o. za graditeljstvo i trgovinu,52682496706,,,Splitsko-dalmatinska županija,Ulica don Lovre Katića 66,Solin,struktor@st.t-com.hr,,,19,1,STRUKTOR,d.o.o.
60050403,PLASTBAU INTERNATIONAL društvo s ograničenom odgovornošću za graditeljstvo i usluge,28784665743,,,Grad Zagreb,Ulica Ivana Šibla 17,Zagreb,bratusa.bratusa@gmail.com,,,17,1,PLASTBAU INTERNATIONAL,d.o.o.
60052904,LABOR PROJEKT d.o.o. za graditeljstvo,90595454250,,,Splitsko-dalmatinska županija,Šopova 6,Split,labor.projekt@gmail.com,,,17,1,LABOR PROJEKT,d.o.o.
60054883,"ETAG-INVEST za graditeljstvo, trgovinu, turizam, prijevoz i usluge, društvo s ograničenom odgovornošću",82706145221,,,Splitsko-dalmatinska županija,Klarina 5,Split,dragan.saravanja@xnet.hr,,,17,1,ETAG INVEST,d.o.o.
60055827,"MODUL COMPANY d.o.o. za graditeljstvo,trgovinu i usluge",85327471579,,,Šibensko-kninska županija,Bilice Lugovići 11,Šibenik,modul.company@hi.t-com.hr,,,17,1,MODUL COMPANY,d.o.o.
60055835,"PANEL d.o.o. za graditeljstvo, trgovinu i usluge",73877233486,,,Splitsko-dalmatinska županija,Doverska 31,Split,panel.split@gmail.com,,,17,1,PANEL,d.o.o.
60056897,"INTERGRADNJA, društvo s ograničenom odgovornošću za graditeljstvo i trgovinu",42803229728,,,Splitsko-dalmatinska županija,Zoranićeva 61,Solin,info@intergradnja.com,,,21,1,INTERGRADNJA,d.o.o.
60058313,"FORMA GMK društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i usluge",64737941981,,,Splitsko-dalmatinska županija,Zakučac 10,Zakučac,klesarstvo.forma@gmail.com,,,16,1,FORMA GMK,d.o.o.
60061745,"JELGRAD, d.o.o. za graditeljstvo i trgovinu",30112517039,,,Splitsko-dalmatinska županija,Hrv. iseljenika 8,Split,jelgrad@gmail.com,,,17,1,JELGRAD,d.o.o.
60062150,AB CONSTRUCTUM d.o.o. za graditeljstvo i usluge,15641669795,,,Splitsko-dalmatinska županija,Vukovarska 148,Split,ivukovica3@gmail.com,,,17,1,AB CONSTRUCTUM,d.o.o.
60062906,BOBANAC d.o.o. za graditeljstvo i projektiranje,52719221803,,,Splitsko-dalmatinska županija,Kotiška Ul. 40,Makarska,milan.bobanac@bobanac.hr,,,17,1,BOBANAC,d.o.o.
60064977,"KONSTRUKTOR-HOTINA, društvo s ograničenom odgovornošću za graditeljstvo",74067299119,,,Dubrovačko-neretvanska županija,32. Ulica br. 9,Blato,konstruktor-hotina.d.o.o@du.t-com.hr,,,17,1,KONSTRUKTOR-HOTINA,d.o.o.
60067718,"KUKIĆ-LIMARIJA, d.o.o. za graditeljstvo, promet i usluge",66390956840,,,Splitsko-dalmatinska županija,Mosećka ulica 29,Solin,Kukiclimarija@gmail.com,,,17,1,KUKIĆ LIMARIJA,d.o.o.
60068403,"TROKUT d.o.o. za graditeljstvo, trgovinu i usluge",7617683032,,,Splitsko-dalmatinska županija,Put Supavla 1,Split,trokut1.st@gmail.com,,,17,1,TROKUT,d.o.o.
60069166,ALCON d.o.o. za graditeljstvo i turizam,54067659556,,,Splitsko-dalmatinska županija,Spinčićeva 25,Split,alcon.split@gmail.com,,,18,1,ALCON,d.o.o.
60070168,"BULJAN CESTE-ST, društvo s ograničenom odgovornošću za graditeljstvo, trgovinu, cestovni promet i usluge",59752419833,,,Splitsko-dalmatinska županija,Sv. Leopolda Bogdana Mandića 7,Dugopolje,bc.pu@buljanceste.org,,,17,1,BULJAN CESTE ST,d.o.o.
60072338,"BAYERN-EXPORT-IMPORT, d.o.o. za graditeljstvo, trgovinu i posredovanje",88984600247,,,Zadarska županija,Put Vukića 5,Zadar,bnincevic123@gmail.com,,,16,1,BAYERN-EXPORT-IMPORT,d.o.o.
60072643,"NOVI IZGLED d.o.o. za graditeljstvo, usluge i trgovinu",22575434468,,,Splitsko-dalmatinska županija,Istarska ulica 11,Sinj,novi.izgled.doo@gmail.com,,,17,1,NOVI IZGLED,d.o.o.
60074151,"HIK, d.o.o za graditeljstvo i trgovinu",46488004819,,,Splitsko-dalmatinska županija,Vrazova 25,Split,hik.split@net.hr,,,18,1,HIK,d.o.o.
60081781,ANIVA-INŽENJERING d.o.o. za graditeljstvo,21553497401,,,Zadarska županija,Ulica Vjenceslava Novaka 6,Zadar,anivainz@gmail.com,,,17,1,ANIVA INŽENJERING,d.o.o.
60082102,"VUJEVA d.o.o. za graditeljstvo, trgovinu i usluge",61627120540,,,Splitsko-dalmatinska županija,D. Šimunovića 25,Split,vujeva.doo@gmail.com,,,17,1,VUJEVA,d.o.o.
60084204,"TRAGURIUM COMMERCE, d.o.o. za graditeljstvo, trgovinu, cestovni promet, turizam, ugostiteljstvo i usluge",73048586936,,,Splitsko-dalmatinska županija,Plano-Aerodrom 1,Plano,traguriumcommerce@gmail.com,,,17,1,TRAGURIUM COMMERCE,d.o.o.
60085535,"HMB-LAM, društvo s ograničenom odgovornošću za graditeljstvo, usluge i trgovinu",92118145305,,,Zadarska županija,Vladimira Nazora ,Biograd Na Moru,ljubisacelar9@gmail.com,,,16,1,HMB-LAM,d.o.o.
60085772,"CROMIX, društvo sa ograničenom odgovornošću za graditeljstvo, trgovinu i ugostiteljstvo",34729142332,,,Šibensko-kninska županija,Parati 20,Donje Planjane,ivana.cromix@gmail.com,,,14,1,CROMIX,d.o.o.
60093124,"ZLATAR Co. d.o.o. za graditeljstvo, trgovinu i export-import",26585477065,,,Splitsko-dalmatinska županija,Vrh sela 8,Povlja,zlatarco@gmail.com,,,19,1,ZLATAR CO,d.o.o.
60096649,CHRILE d.o.o. za graditeljstvo i trgovinu,409536656,,,Splitsko-dalmatinska županija,Ulica Stjepana Sulimanca 7,Split,chrile@st.t-com.hr,,,17,1,CHRILE,d.o.o.
60107841,"BIRKIĆ društvo s ograničenom odgovornošću za graditeljstvo, prijevoz robe i trgovinu",28780240629,,,Zadarska županija,Vukovarska 5,Biograd Na Moru,birkic.doo@zd.t-com.hr,,,17,1,BIRKIĆ,d.o.o.
60108668,"VUJEVIĆ GRADNJA-MONTAŽA, društvo s ograničenom odgovornošću za graditeljstvo,trgovinu i posredovanje u prometu nekretninama",88521492411,,,Splitsko-dalmatinska županija,Cesta dr. Franje Tuđmana 100,Kaštel Gomilica,pericavujevic2@gmail.com,,,17,1,VUJEVIĆ GRADNJA-MONTAŽA,d.o.o.
60112417,G.P. KATIĆ društvo s ograničenom odgovornošću za graditeljstvo u zemlji i inozemstvu,27807298919,,,Splitsko-dalmatinska županija,Poboji 243,Lokvičići,markogpkatic@gmail.com,,,17,1,GP KATIĆ,d.o.o.
60112765,TERMOUNION d.o.o. za graditeljstvo i trgovinu,11608416248,,,Splitsko-dalmatinska županija,Borisa Papandopula 29-31 ,Split,termounion.split@gmail.com,,,18,1,TERMOUNION,d.o.o.
60113731,"EL TIM društvo s ograničenom odgovornošću za graditeljstvo,d.o.o.",98683714125,,,Zadarska županija,Ulica Benka Benkovića 22,Zadar,eltim@eltim.hr,,,16,1,EL TIM,d.o.o.
60116096,"ITC društvo za graditeljstvo, trgovinu i usluge, d.o.o.",87627221168,,,Splitsko-dalmatinska županija,Mostarska 65,Split,itcdoo@inet.hr,,,18,1,ITC,d.o.o.
60120820,"SMREKA-Co d.o.o. za graditeljstvo, trgovinu i usluge",7256592018,,,Splitsko-dalmatinska županija,Velebitska 65,Split,smreka-co@st.t-com.hr,,,17,1,SMREKA,d.o.o.
60121919,"GRADINA-MONT, društvo s ograničenom odgovornošću za graditeljstvo i prijevoz",56982549059,,,Splitsko-dalmatinska županija,Vučipolje 64,Vučipolje,ib.gradina@gmail.com,,,18,1,GRADINA MONT,d.o.o.
60123586,RUBEN d.o.o. za graditeljstvo i usluge,99888222879,,,Splitsko-dalmatinska županija,Velebitska 123,Split,rubendoosplit@gmail,,,16,1,RUBEN,d.o.o.
60129556,VELCON PROJEKT d.o.o. za graditeljstvo i projektiranje,56426320548,,,Splitsko-dalmatinska županija,Put Firula 45,Split,albert@velcon.hr,,,17,1,VELCON PROJEKT,d.o.o.
60129896,"TOMIČIĆ GRADITELJSTVO, d.o.o. za graditeljstvo i usluge",13051774794,,,Splitsko-dalmatinska županija,Sv. Mihovila 32,Split,tomicic.graditeljstvo@gmail.com,,,17,1,TOMIČIĆ GRADITELJSTVO,d.o.o.
60132656,"ŠIMETO društvo s ograničenom odgovornošću za graditeljstvo, trgovinu i ribarstvo",30166235631,,,Zadarska županija,Ninska ulica 10,Zadar,simeto.doo@zd.t-com.hr,,,16,1,ŠIMETO,d.o.o.
60134264,"GROING GRADNJA, društvo s ograničenom odgovornošću za graditeljstvo",57987922362,,,Splitsko-dalmatinska županija,Hercegovačka Ulica 92,Podstrana,dragan.paic1@gmail.com,,,17,1,GROING GRADNJA,d.o.o.
60136571,SVETICE-CENTAR d.o.o. za graditeljstvo,57501053709,,,Splitsko-dalmatinska županija,Gundulićeva 26,Split,svetice-centar@svetice-centar.hr,,,17,1,SVETICE CENTAR,d.o.o.
60137548,AKVAMONT d.o.o. za graditeljstvo,5678625092,,,Dubrovačko-neretvanska županija,Malo selo 3,Ston,antonio.memunic@akvamont.hr,,,17,1,AKVAMONT,d.o.o.
60140857,"SIRIUS-ZADAR društvo s ograničenom odgovornošću za graditeljstvo, inženjering, projektiranje i trgovinu",65394272029,,,Zadarska županija,Velebitska ulica 19,Zadar,sirius.zadar@gmail.com,,,19,1,SIRIUS-ZADAR,d.o.o.
60144274,"BOT, d.o.o. za graditeljstvo i trgovinu",80710365712,,,Splitsko-dalmatinska županija,Drniška 31,Split,jurenic.dragan@gmail.com,,,17,1,BOT,d.o.o.
60144459,TEHNIKA PUT d.o.o. za graditeljstvo,53142894838,,,Zadarska županija,Put Murata 18,Zadar,tehnika.put@gmail.com,,,14,1,VODENA,d.o.o.
60146241,"LOVRIĆ - GRADITELJSTVO, d.o.o. za graditeljstvo i trgovinu",46641631072,,,Dubrovačko-neretvanska županija,Put Dr. Ante Starčevića 7,Kupari,lovricgraditeljstvo@gmail.com,,,18,1,LOVRIĆ GRADITELJSTVO,d.o.o.
60147373,"GTT POLJUD, društvo s ograničenom odgovornošču za graditeljstvo, trgovinu i turizam",58543965955,,,Splitsko-dalmatinska županija,Pod Kosom 35,Split,ivan.palac@gttpoljud.hr,,,17,1,GTT POLJUD,d.o.o.
60148956,"BEMIX društvo s ograničenom odgovornošću za graditeljstvo, prijevoz i poslovanje nekretninama",76507295247,,,Šibensko-kninska županija,Južna magistrala 25,Šibenik,bemixdoo@yahoo.com.hr,,,17,1,BEMIX,d.o.o.
